matcher	n_pairs	microRplus_P	microRplus_R	microRplus_F1	macroRplus_P	macroRplus_R	macroRplus_F1	microRapprox_P	microRapprox_R	microRapprox_F1	macroRapprox_P	macroRapprox_R	macroRapprox_F1
LogMap	6	0.9571	0.7766	0.8575	0.8963	0.7708	0.8126	0.9737	0.6683	0.7926	0.9498	0.6202	0.7286
LogMapLt	6	0.7782	0.4242	0.5491	0.7895	0.6507	0.6655	0.8518	0.5189	0.6449	0.8828	0.7049	0.74
AML	6	0.8942	0.3463	0.4993	0.8789	0.5778	0.6436	0.9825	0.3678	0.5352	0.9892	0.5099	0.6346
Matcha	6	0.4407	0.4877	0.463	0.5244	0.6896	0.566	0.3885	0.5747	0.4636	0.4694	0.7637	0.5356
BertMapLt	6	0.906	0.2172	0.3504	0.859	0.3673	0.4748	1.0	0.2282	0.3717	1.0	0.3423	0.4793
SecureBertMap	6	0.9612	0.2029	0.335	0.9431	0.3498	0.4686	0.9909	0.179	0.3032	0.9949	0.2718	0.3864
BertMap	6	0.9412	0.1967	0.3254	0.9232	0.3431	0.4631	0.9725	0.1741	0.2953	0.9714	0.259	0.3792
CySecBertMap	6	0.9596	0.1947	0.3237	0.9394	0.3343	0.459	0.9906	0.1724	0.2937	0.9912	0.2563	0.3768
LogMapLLM	2	0.9963	0.8774	0.9331	0.9979	0.8996	0.946	0.9963	0.8774	0.9331	0.9979	0.8996	0.946
ALOD2Vec	2	0.9634	0.2548	0.4031	0.9641	0.5089	0.5918	0.9634	0.2548	0.4031	0.9641	0.5089	0.5918
ATMatcher	2	0.9259	0.2419	0.3836	0.9278	0.4234	0.537	0.9259	0.2419	0.3836	0.9278	0.4234	0.537
Fine-TOM	2	0.625	0.1613	0.2564	0.6021	0.201	0.2633	0.625	0.1613	0.2564	0.6021	0.201	0.2633
KGMatcher	2	1.0	0.0839	0.1548	1.0	0.1658	0.268	1.0	0.0839	0.1548	1.0	0.1658	0.268
